# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2227
#@/user_id	c286c5d4-02d2-4839-a588-e8f68a470b72
a 	啊	c=2 d=0.440935 t=2227
guan xi 	關係	c=2 d=0.0457285 t=2227
guan xin 	關心	c=1 d=0.0934807 t=2227
guang 	光	c=1 d=0.128093 t=2227
guang 	廣	c=1 d=0.0383884 t=2227
guang hui 	光輝	c=1 d=0.390628 t=2227
guo 	過	c=3 d=0.153324 t=2227
guo cheng 	過程	c=1 d=0.017953 t=2227
guo ji 	國際	c=1 d=0.99005 t=2227
guo qu 	過去	c=1 d=0.141564 t=2227
guo qu shi 	過去式	c=1 d=0.290835 t=2227
hai 	還	c=1 d=0.00131358 t=2227
hai ba 	海拔	c=2 d=0.0823448 t=2227
hai pa 	害怕	c=1 d=0.763379 t=2227
hai you 	還有	c=1 d=0.154124 t=2227
han 	喊	c=1 d=0.782705 t=2227
han chu 	喊出	c=1 d=0.0424257 t=2227
hang kong qi 	航空器	c=1 d=0.00190171 t=2227
hao 	好	c=1 d=0.0555762 t=2227
hao peng you 	好朋友	c=1 d=0.0558548 t=2227
he 	和	c=10 d=0.422609 t=2227
he 	河	c=1 d=0.0544757 t=2227
he cha 	喝茶	c=2 d=0.153458 t=2227
he er meng 	荷爾蒙	c=1 d=0.13332 t=2227
he qian 	呵欠	c=1 d=0.239309 t=2227
he tao 	核桃	c=1 d=0.506617 t=2227
he wei 	合爲	c=1 d=0.818731 t=2227
hen 	很	c=4 d=0.23151 t=2227
hen duo 	很多	c=1 d=0.634448 t=2227
hen hao 	很好	c=1 d=0.0265162 t=2227
hong long sheng 	轟隆聲	c=1 d=0.0411719 t=2227
hong se 	紅色	c=3 d=0.0162774 t=2227
hou 	後	c=4 d=0.121874 t=2227
hou jiao 	吼叫	c=1 d=0.0422141 t=2227
hou zhui 	後綴	c=1 d=0.0681195 t=2227
hu die 	蝴蝶	c=2 d=0.733923 t=2227
hu xi 	呼吸	c=2 d=0.0881405 t=2227
hu ya 	虎牙	c=1 d=0.0356146 t=2227
hua 	話	c=2 d=0.740985 t=2227
hua fei 	花費	c=1 d=0.332871 t=2227
hua sheng 	花生	c=2 d=1.00065 t=2227
hua shi 	花式	c=1 d=0.13068 t=2227
huan 	換	c=0 d=0.0970446 t=2227
huan chong 	緩衝	c=1 d=0.0253494 t=2227
huan gu 	環顧	c=2 d=0.00513415 t=2227
huan hang 	換行	c=1 d=0.937067 t=2227
huan jing 	環境	c=2 d=0.145876 t=2227
huan jing de 	環境的	c=1 d=0.14808 t=2227
huan jue 	幻覺	c=2 d=1.91678 t=2227
huan xiang 	幻想	c=3 d=0.985427 t=2227
huan xiang zhong 	換相中	c=2 d=1.95551 t=2227
huang 	黃	c=1 d=0.355226 t=2227
huang jue 	黃珏	c=1 d=0.951229 t=2227
huang you 	黃油	c=2 d=0.710489 t=2227
hui 	回	c=2 d=0.135504 t=2227
hui 	會	c=4 d=0.879605 t=2227
hui che 	回車	c=1 d=0.00506703 t=2227
hui lai 	回來	c=1 d=0.140858 t=2227
hui yuan 	會員	c=3 d=0.511903 t=2227
hui zai 	會在	c=1 d=0.0916297 t=2227
huo guang 	火光	c=1 d=0.364219 t=2227
huo hua 	火花	c=2 d=0.438531 t=2227
huo qu 	獲取	c=1 d=0.0948935 t=2227
huo yan 	火焰	c=6 d=1.26472 t=2227
huo zhe 	或者	c=1 d=0.0132336 t=2227
i 	I	c=2 d=1 t=2227
i nei si ta 	I內斯塔	c=1 d=0.831104 t=2227
ji 	級	c=1 d=0.00128757 t=2227
ji ben 	基本	c=1 d=0.00444934 t=2227
ji cheng ren 	繼承人	c=2 d=0.00272755 t=2227
ji ding he 	機頂盒	c=1 d=0.105928 t=2227
ji du 	極度	c=1 d=0.386741 t=2227
ji ji 	積極	c=0 d=0.00939493 t=2227
ji suan ji 	計算機	c=2 d=0.883293 t=2227
ji ta 	吉他	c=2 d=0.942376 t=2227
ji ti 	集體	c=1 d=0.647265 t=2227
ji tuan 	集團	c=2 d=1.27845 t=2227
ji xia 	記下	c=1 d=0.062662 t=2227
